"","park","order","labels","metgrp","sign","num_crit","park_reggrp","label_order","park_dm","park_ord"
"44","HAFE",17,"Tree Density","Native Subcan. 
 Trends","nonsign",8,"Imminent Failure","Tree Density","HAFE*","HAFE*"
"45","HAFE",18,"Sapling BA","Native Subcan. 
 Trends","nonsign",8,"Imminent Failure","Sapling BA","HAFE*","HAFE*"
"46","HAFE",19,"Sapling Density","Native Subcan. 
 Trends","nonsign",8,"Imminent Failure","Sapling Density","HAFE*","HAFE*"
"47","HAFE",20,"Seedling Density","Native Subcan. 
 Trends","nonsign",8,"Imminent Failure","Seedling Density","HAFE*","HAFE*"
"48","HAFE",21,"Tree BA","Exotic 
 Trends","nonsign",8,"Imminent Failure","Tree BA","HAFE*","HAFE*"
"49","HAFE",22,"Tree Density","Exotic 
 Trends","nonsign",8,"Imminent Failure","Tree Density","HAFE*","HAFE*"
"50","HAFE",23,"Sapling BA","Exotic 
 Trends","notmod",8,"Imminent Failure","Sapling BA","HAFE*","HAFE*"
"51","HAFE",24,"Sapling Density","Exotic 
 Trends","notmod",8,"Imminent Failure","Sapling Density","HAFE*","HAFE*"
"52","HAFE",25,"Seedling Density","Exotic 
 Trends","signinc_bad",8,"Imminent Failure","Seedling Density","HAFE*","HAFE*"
"53","GWMP",1,"Sapling Density","Regen. Status","critical",7,"Imminent Failure","Sapling Density","GWMP","GWMP"
"54","GWMP",2,"Seedling Density","Regen. Status","critical",7,"Imminent Failure","Seedling Density","GWMP","GWMP"
"55","GWMP",3,"% Stocked Plots","Regen. Status","critical",7,"Imminent Failure","% Stocked Plots","GWMP","GWMP"
"56","GWMP",4,"Stocking Index","Regen. Status","critical",7,"Imminent Failure","Stocking Index","GWMP","GWMP"
"57","GWMP",9,"Deer Browse Impacts","Regen. Status","caution",7,"Imminent Failure","Deer Browse Impacts","GWMP","GWMP"
"58","GWMP",10,"Flat Tree Diam. Dist.","Regen. Status","acceptable",7,"Imminent Failure","Flat Tree Diam. Dist.","GWMP","GWMP"
"59","GWMP",5,"Sapling Composition","Regen. Status","critical",7,"Imminent Failure","Sapling Composition","GWMP","GWMP"
"60","GWMP",6,"Seedling Composition","Regen. Status","critical",7,"Imminent Failure","Seedling Composition","GWMP","GWMP"
"61","GWMP",7,"Sorensen Sapling","Regen. Status","acceptable",7,"Imminent Failure","Sorensen Sapling","GWMP","GWMP"
"62","GWMP",8,"Sorensen Seedling","Regen. Status","critical",7,"Imminent Failure","Sorensen Seedling","GWMP","GWMP"
"63","GWMP",10,"Tree BA","Native Canopy 
 Trends","signinc_good",7,"Imminent Failure","Tree BA","GWMP","GWMP"
