"mg_short","lat_rank","metric","mean","lower95","upper95"
"Floodplain",4,"Sor_sap",0.253395594304685,0.187721442698715,0.317820260547533
"Floodplain",4,"Hor_sap",0.505208726197882,0.389081455066519,0.611188976908966
"Floodplain",4,"Sor_seed",0.272983609830015,0.210497467030889,0.340017042310751
"Floodplain",4,"Hor_seed",0.636294047963772,0.534710038602952,0.733442496563494
"Southern Ruderal",1,"stock_final",27.9701409142282,17.8603340590082,42.2755819546241
"Southern Ruderal",1,"Sap_Dens_Total",0.120642699175488,0.0987860957491782,0.143955211218189
"Southern Ruderal",1,"Seed_Dens_Total",0.797764227642277,0.551803861788618,1.10670731707317
"Southern Ruderal",1,"Sap_Dens_NatCan",0.0632691151814242,0.0477358284371666,0.079952749474435
"Southern Ruderal",1,"Seed_Dens_NatCan",0.388211382113821,0.24082825203252,0.560975609756098
"Southern Ruderal",1,"Sor_sap",0.366428625574967,0.32870904840417,0.405101861214666
"Southern Ruderal",1,"Hor_sap",0.573217553797055,0.510974386527243,0.63541836327618
"Southern Ruderal",1,"Sor_seed",0.228177242811389,0.187106650124943,0.267263136592405
"Southern Ruderal",1,"Hor_seed",0.666047396961129,0.593626232860648,0.735154825292564
