"mg_short","lat_rank","metric","mean","lower95","upper95"
"Acadian Mixed",8,"stock_final",55.2828282828283,45.3670033670034,65.997601010101
"Acadian Mixed",8,"Sap_Dens_Total",0.184957503971028,0.165534287451551,0.207461113387923
"Acadian Mixed",8,"Seed_Dens_Total",0.547238494732528,0.429644495873613,0.684674241754592
"Acadian Mixed",8,"Sap_Dens_NatCan",0.143573095044853,0.121206764007082,0.166210634587723
"Acadian Mixed",8,"Seed_Dens_NatCan",0.423620988457902,0.323009329572575,0.536128990782929
"Acadian Mixed",8,"Sor_sap",0.395815295815296,0.359732443482443,0.432027918069585
"Acadian Mixed",8,"Hor_sap",0.37922962062948,0.330301687993831,0.424450119291533
"Acadian Mixed",8,"Sor_seed",0.377302971999942,0.342622723446587,0.41290415427726
"Acadian Mixed",8,"Hor_seed",0.476245559377943,0.429239856829862,0.526246113676784
"Northern Oak - Pine",6,"stock_final",42.1117360563773,34.5242033764354,50.3598700610303
"Northern Oak - Pine",6,"Sap_Dens_Total",0.102190376484657,0.0905740465181727,0.114481967290462
"Northern Oak - Pine",6,"Seed_Dens_Total",1.23273397785958,1.06608169368905,1.3961118440956
"Northern Oak - Pine",6,"Sap_Dens_NatCan",0.0663555851291946,0.0581505837901011,0.0747712550810304
"Northern Oak - Pine",6,"Seed_Dens_NatCan",0.754345720462585,0.628170217419833,0.888816541437825
"Northern Oak - Pine",6,"Sor_sap",0.275347367352338,0.254869069943221,0.295471005853669
"Northern Oak - Pine",6,"Hor_sap",0.547221728932184,0.511505323216092,0.582309304048194
"Northern Oak - Pine",6,"Sor_seed",0.338377701077626,0.31343863893246,0.361200181911839
"Northern Oak - Pine",6,"Hor_seed",0.643109697123025,0.608417595854891,0.675229832630016
"Appalachian Mesic",7,"stock_final",22.7061621395706,16.7504573861384,29.1506764833682
"Appalachian Mesic",7,"Sap_Dens_Total",0.0737386308574802,0.063116853463942,0.0851439214175982
"Appalachian Mesic",7,"Seed_Dens_Total",0.940524867075846,0.747198432415963,1.14681829900704
"Appalachian Mesic",7,"Sap_Dens_NatCan",0.041709999487735,0.0336280603203152,0.051127160686721
"Appalachian Mesic",7,"Seed_Dens_NatCan",0.396492491211228,0.30566867210289,0.504872625926716
"Appalachian Mesic",7,"Sor_sap",0.199528781769788,0.170341689747899,0.227445830138633
"Appalachian Mesic",7,"Hor_sap",0.452935786210701,0.399733756724524,0.508150559802583
"Appalachian Mesic",7,"Sor_seed",0.30614552133069,0.278105045650822,0.333204513242566
"Appalachian Mesic",7,"Hor_seed",0.70014348318012,0.651707552512625,0.746790220237997
"Northern Ruderal",5,"stock_final",22.1634768635755,15.7790887549725,31.2115546274159
"Northern Ruderal",5,"Sap_Dens_Total",0.0950229397291608,0.0836521391460426,0.105750813953827
"Northern Ruderal",5,"Seed_Dens_Total",0.843466997301178,0.700546081630717,0.998102382510783
"Northern Ruderal",5,"Sap_Dens_NatCan",0.0464143554417785,0.0384037344336324,0.0545086674704976
"Northern Ruderal",5,"Seed_Dens_NatCan",0.375182589538717,0.283866368403828,0.493614305042265
"Northern Ruderal",5,"Sor_sap",0.271853007759355,0.248769211172385,0.294928325308163
"Northern Ruderal",5,"Hor_sap",0.561719518374991,0.520608602205271,0.603844420011732
"Northern Ruderal",5,"Sor_seed",0.216974436113506,0.197060871889049,0.238774013692598
"Northern Ruderal",5,"Hor_seed",0.70237655043252,0.663979192127858,0.741555407621777
"Southern Oak - Pine",2,"stock_final",40.5421402142957,26.6432385619418,57.2817523538476
"Southern Oak - Pine",2,"Sap_Dens_Total",0.107745914803476,0.0908724979568936,0.125432508365555
"Southern Oak - Pine",2,"Seed_Dens_Total",1.46551724137931,0.902262931034482,2.15380747126437
"Southern Oak - Pine",2,"Sap_Dens_NatCan",0.0674936673863281,0.0540762515806123,0.0823544718620527
"Southern Oak - Pine",2,"Seed_Dens_NatCan",1.13793103448276,0.620653735632184,1.80894396551724
"Southern Oak - Pine",2,"Sor_sap",0.363837272711512,0.316468671625872,0.407206593904743
"Southern Oak - Pine",2,"Hor_sap",0.690378140634459,0.630588689309834,0.749256485838478
"Southern Oak - Pine",2,"Sor_seed",0.225550359602084,0.178382211658074,0.269658790682498
"Southern Oak - Pine",2,"Hor_seed",0.614953604236894,0.526361187157421,0.696853507031805
"Coastal Plain",3,"stock_final",37.9522034689183,24.9222993274573,55.0380080123222
"Coastal Plain",3,"Sap_Dens_Total",0.109456995263746,0.0946689939581956,0.125326836407371
"Coastal Plain",3,"Seed_Dens_Total",0.657403119644419,0.488810934022002,0.862965467456318
"Coastal Plain",3,"Sap_Dens_NatCan",0.0709859924253859,0.0577859076820289,0.0863591461485932
"Coastal Plain",3,"Seed_Dens_NatCan",0.417519601673415,0.295253766187248,0.570122543716492
"Coastal Plain",3,"Sor_sap",0.33544633178742,0.301347831150936,0.367868340138167
"Coastal Plain",3,"Hor_sap",0.481855588651086,0.426901648525718,0.53433197012672
"Coastal Plain",3,"Sor_seed",0.206615337398919,0.172905927950727,0.243320250212013
"Coastal Plain",3,"Hor_seed",0.578467805422996,0.508996911317467,0.639763892417169
"Floodplain",4,"stock_final",19.8056736790661,5.09509103463903,45.2568259581438
"Floodplain",4,"Sap_Dens_Total",0.102493214894683,0.0626446013652613,0.151597428647892
"Floodplain",4,"Seed_Dens_Total",0.679650745946158,0.488850399881873,0.90735513201543
"Floodplain",4,"Sap_Dens_NatCan",0.0394955819843517,0.0128594499225088,0.0808773917801638
"Floodplain",4,"Seed_Dens_NatCan",0.203428700511702,0.114851863364692,0.314036511696118
